source,target,graph_id
30064771121,180388626434,4
30064771122,124554051586,4
30064771124,124554051587,4
30064771129,128849018884,4
180388626433,30064771121,4
180388626434,30064771122,4
124554051586,30064771124,4
124554051587,30064771129,4
111669149700,180388626433,4
30064771183,55834574861,17
146028888077,128849018897,17
30064771182,30064771183,17
30064771185,146028888077,17
30064771184,30064771185,17
55834574861,30064771184,17
111669149713,30064771182,17
30064771313,30064771314,28
30064771312,30064771313,28
30064771315,30064771316,28
30064771317,180388626446,28
30064771344,124554051599,28
30064771345,30064771346,28
30064771346,128849018908,28
30064771346,55834574879,28
30064771314,30064771315,28
30064771316,30064771317,28
180388626446,30064771344,28
124554051599,30064771345,28
30064771348,128849018908,28
30064771347,30064771348,28
55834574879,30064771347,28
111669149724,30064771312,28
111669149734,128849018918,38
30064771330,55834574876,31
30064771334,128849018911,31
30064771329,30064771327,31
30064771328,30064771330,31
30064771333,30064771331,31
30064771332,30064771334,31
55834574875,30064771329,31
30064771327,30064771328,31
55834574876,30064771333,31
30064771331,30064771332,31
111669149727,55834574875,31
146028888078,128849018901,21
30064771237,146028888078,21
111669149717,30064771237,21
111669149739,128849018923,43
30064771235,180388626440,20
30064771236,124554051594,20
30064771238,124554051595,20
30064771243,124554051596,20
30064771264,128849018900,20
180388626439,30064771235,20
180388626440,30064771236,20
124554051594,30064771238,20
124554051595,30064771243,20
124554051596,30064771264,20
111669149716,180388626439,20
30064771321,55834574874,30
30064771325,128849018910,30
30064771320,30064771318,30
30064771319,30064771321,30
30064771324,30064771322,30
30064771323,30064771325,30
55834574873,30064771320,30
30064771318,30064771319,30
55834574874,30064771324,30
30064771322,30064771323,30
111669149726,55834574873,30
111669149738,128849018922,42
146028888066,128849018885,5
30064771123,146028888066,5
111669149701,30064771123,5
146028888076,128849018896,16
30064771179,146028888076,16
111669149712,30064771179,16
111669149735,128849018919,39
30064771326,124554051601,29
30064771335,128849018909,29
124554051600,30064771326,29
124554051601,30064771335,29
111669149725,124554051600,29
111669149736,128849018920,40
146028888084,128849018912,32
30064771337,146028888084,32
30064771336,180388626445,32
180388626445,30064771337,32
180388626444,55834574877,32
55834574877,30064771336,32
111669149728,180388626444,32
146028888080,128849018902,22
30064771239,146028888079,22
30064771239,30064771240,22
30064771242,146028888080,22
146028888079,128849018902,22
30064771240,30064771241,22
30064771241,30064771242,22
111669149718,30064771239,22
146028888074,128849018894,14
30064771177,146028888074,14
111669149710,30064771177,14
30064771186,128849018887,7
30064771131,30064771132,7
30064771133,180388626437,7
30064771180,124554051588,7
30064771181,124554051592,7
124554051592,30064771186,7
30064771130,30064771131,7
30064771132,30064771133,7
180388626437,30064771180,7
124554051588,30064771181,7
111669149703,30064771130,7
111669149745,128849018929,49
146028888075,128849018895,15
30064771178,146028888075,15
111669149711,30064771178,15
146028888068,128849018886,6
30064771125,146028888067,6
30064771125,30064771126,6
30064771128,146028888068,6
146028888067,128849018886,6
30064771126,30064771127,6
30064771127,30064771128,6
111669149702,30064771125,6
111669149744,128849018928,48
111669149737,128849018921,41
30064771246,30064771247,23
30064771260,30064771261,23
146028888082,128849018903,23
30064771244,146028888081,23
