id,label,graph_id
30064771121,"<operator>.assignment, 1 len = __builtins__.len",4
30064771122,"<operator>.assignment, 1 sum = __builtins__.sum",4
30064771124,"<operator>.assignment, 5 calculate_sum = def calculate_sum(...)",4
30064771129,"<operator>.assignment, 17 calculate_average = def calculate_average(...)",4
180388626433,"TYPE_REF, 1 __builtins__.len",4
180388626434,"TYPE_REF, 1 __builtins__.sum",4
124554051586,"METHOD_REF, 5 def calculate_sum(...) calculate_sum = def calculate_sum(...)",4
124554051587,"METHOD_REF, 17 def calculate_average(...) calculate_average = def calculate_average(...)",4
111669149700,"METHOD, 1 <module>",4
128849018884,"METHOD_RETURN, 1 ANY",4
30064771183,"<operator>.assignment, 28 processor = DataProcessor(data)",17
146028888077,"RETURN, 29 return processor.get_statistics()",17
30064771182,"DataProcessor, 28 DataProcessor(data)",17
30064771185,"get_statistics, 29 processor.get_statistics()",17
30064771184,"<operator>.fieldAccess, 29 processor.get_statistics",17
55834574861,"FIELD_IDENTIFIER, 29 get_statistics",17
111669149713,"METHOD, 26 process_dataset",17
128849018897,"METHOD_RETURN, 26 ANY",17
30064771313,"<operator>.assignment, 5 unittest = import(, unittest)",28
30064771312,"import, 5 import(, unittest)",28
30064771315,"<operator>.assignment, 6 calculate_sum = import(sample_project.core, cal...",28
30064771317,"<operator>.assignment, 6 calculate_average = import(sample_project.core,...",28
30064771344,"<operator>.assignment, 8 TestCore = class TestCore<meta>(...)",28
30064771345,", 8 def <body>(...)()",28
30064771346,"<operator>.equals, 17 __name__ == '__main__'",28
30064771314,"import, 6 import(sample_project.core, calculate_sum)",28
30064771316,"import, 6 import(sample_project.core, calculate_average)",28
180388626446,"TYPE_REF, 8 class TestCore<meta>(...)",28
124554051599,"METHOD_REF, 8 def <body>(...) def <body>(...)()",28
30064771348,"main, 18 unittest.main()",28
30064771347,"<operator>.fieldAccess, 18 unittest.main",28
55834574879,"FIELD_IDENTIFIER, 18 main",28
111669149724,"METHOD, 1 <module>",28
128849018908,"METHOD_RETURN, 1 ANY",28
111669149734,METHOD <operator>.logicalNot,38
128849018918,METHOD_RETURN ANY,38
30064771330,"assertEqual, 14 self.assertEqual(calculate_average([1, 2, 3, 4,...",31
30064771334,"assertEqual, 15 self.assertEqual(calculate_average([]), 0)",31
30064771329,"<operator>.fieldAccess, 14 self.assertEqual",31
30064771328,"calculate_average, 14 calculate_average([1, 2, 3, 4, 5])",31
30064771333,"<operator>.fieldAccess, 15 self.assertEqual",31
30064771332,"calculate_average, 15 calculate_average([])",31
55834574875,"FIELD_IDENTIFIER, 14 assertEqual",31
30064771327,"<operator>.listLiteral, 14 [1, 2, 3, 4, 5]",31
55834574876,"FIELD_IDENTIFIER, 15 assertEqual",31
30064771331,"<operator>.listLiteral, 15 []",31
111669149727,"METHOD, 13 test_calculate_average",31
128849018911,"METHOD_RETURN, 13 ANY",31
146028888078,"RETURN, 7 return sum(numbers)",21
30064771237,"sum, 7 sum(numbers)",21
111669149717,"METHOD, 5 calculate_sum",21
128849018901,"METHOD_RETURN, 5 ANY",21
111669149739,METHOD <operator>.subtraction,43
128849018923,METHOD_RETURN ANY,43
30064771235,"<operator>.assignment, 1 len = __builtins__.len",20
30064771236,"<operator>.assignment, 1 sum = __builtins__.sum",20
30064771238,"<operator>.assignment, 5 calculate_sum = def calculate_sum(...)",20
30064771243,"<operator>.assignment, 9 calculate_average = def calculate_average(...)",20
30064771264,"<operator>.assignment, 15 calculate_standard_deviation = def calculate_st...",20
180388626439,"TYPE_REF, 1 __builtins__.len",20
180388626440,"TYPE_REF, 1 __builtins__.sum",20
124554051594,"METHOD_REF, 5 def calculate_sum(...) calculate_sum = def calculate_sum(...)",20
124554051595,"METHOD_REF, 9 def calculate_average(...) calculate_average = def calculate_average(...)",20
124554051596,"METHOD_REF, 15 def calculate_standard_deviation(...) calculate_standard_deviation = def calculate_st...",20
111669149716,"METHOD, 1 <module>",20
128849018900,"METHOD_RETURN, 1 ANY",20
30064771321,"assertEqual, 10 self.assertEqual(calculate_sum([1, 2, 3, 4, 5])...",30
30064771325,"assertEqual, 11 self.assertEqual(calculate_sum([]), 0)",30
30064771320,"<operator>.fieldAccess, 10 self.assertEqual",30
30064771319,"calculate_sum, 10 calculate_sum([1, 2, 3, 4, 5])",30
30064771324,"<operator>.fieldAccess, 11 self.assertEqual",30
30064771323,"calculate_sum, 11 calculate_sum([])",30
55834574873,"FIELD_IDENTIFIER, 10 assertEqual",30
30064771318,"<operator>.listLiteral, 10 [1, 2, 3, 4, 5]",30
55834574874,"FIELD_IDENTIFIER, 11 assertEqual",30
30064771322,"<operator>.listLiteral, 11 []",30
111669149726,"METHOD, 9 test_calculate_sum",30
128849018910,"METHOD_RETURN, 9 ANY",30
111669149738,METHOD <operator>.genExp,42
128849018922,METHOD_RETURN ANY,42
146028888066,"RETURN, 15 return sum(numbers)",5
30064771123,"sum, 15 sum(numbers)",5
111669149701,"METHOD, 5 calculate_sum",5
128849018885,"METHOD_RETURN, 5 ANY",5
146028888076,"RETURN, 18 return normalize_data(self)",16
30064771179,"sample_project/data_processor.py:<module>.DataProcessor.normalize_data, 18 normalize_data(self)",16
111669149712,"METHOD, 18 normalize_data<metaClassAdapter>",16
128849018896,"METHOD_RETURN, 18 ANY",16
111669149735,METHOD <operator>.listLiteral,39
128849018919,METHOD_RETURN ANY,39
30064771326,"<operator>.assignment, 9 test_calculate_sum = def test_calculate_sum(...)",29
30064771335,"<operator>.assignment, 13 test_calculate_average = def test_calculate_ave...",29
124554051600,"METHOD_REF, 9 def test_calculate_sum(...) test_calculate_sum = def test_calculate_sum(...)",29
124554051601,"METHOD_REF, 13 def test_calculate_average(...) test_calculate_average = def test_calculate_ave...",29
111669149725,"METHOD, 8 <body>",29
128849018909,"METHOD_RETURN, 8 ANY",29
111669149736,METHOD <operator>.formatString,40
128849018920,METHOD_RETURN ANY,40
146028888084,"RETURN, 8 return class TestCore<meta>(...).<fakeNew>()",32
30064771337,", 8 class TestCore<meta>(...).<fakeNew>()",32
30064771336,"<operator>.fieldAccess, 8 class TestCore<meta>(...).<fakeNew>",32
180388626445,"TYPE_REF, 8 class TestCore<meta>(...)",32
180388626444,"TYPE_REF, 8 class TestCore<meta>(...)",32
55834574877,"FIELD_IDENTIFIER, 8 <fakeNew>",32
111669149728,"METHOD, 8 <metaClassCallHandler>",32
128849018912,"METHOD_RETURN, 8 tests/test_core.py:<module>.TestCore",32
146028888080,"RETURN, 13 return sum(numbers) / len(numbers)",22
30064771239,"<operator>.logicalNot, 11 not numbers",22
30064771242,"<operator>.division, 13 sum(numbers) / len(numbers)",22
146028888079,"RETURN, 12 return 0",22
30064771240,"sum, 13 sum(numbers)",22
30064771241,"len, 13 len(numbers)",22
111669149718,"METHOD, 9 calculate_average",22
128849018902,"METHOD_RETURN, 9 __builtin.int",22
146028888074,"RETURN, 8 return __init__(self, data)",14
30064771177,"sample_project/data_processor.py:<module>.DataProcessor.__init__, 8 __init__(self, data)",14
111669149710,"METHOD, 8 __init__<metaClassAdapter>",14
128849018894,"METHOD_RETURN, 8 ANY",14
30064771186,"<operator>.assignment, 26 process_dataset = def process_dataset(...)",7
30064771131,"<operator>.assignment, 5 calculate_average = import(.math_utils, calcula...",7
30064771133,"<operator>.assignment, 5 calculate_standard_deviation = import(.math_uti...",7
30064771180,"<operator>.assignment, 7 DataProcessor = class DataProcessor<meta>(...)",7
30064771181,", 7 def <body>(...)()",7
124554051592,"METHOD_REF, 26 def process_dataset(...) process_dataset = def process_dataset(...)",7
30064771130,"import, 5 import(.math_utils, calculate_average)",7
30064771132,"import, 5 import(.math_utils, calculate_standard_deviation)",7
180388626437,"TYPE_REF, 7 class DataProcessor<meta>(...)",7
124554051588,"METHOD_REF, 7 def <body>(...) def <body>(...)()",7
111669149703,"METHOD, 1 <module>",7
128849018887,"METHOD_RETURN, 1 ANY",7
111669149745,METHOD <operator>.assignment,49
128849018929,METHOD_RETURN ANY,49
146028888075,"RETURN, 11 return get_statistics(self)",15
30064771178,"sample_project/data_processor.py:<module>.DataProcessor.get_statistics, 11 get_statistics(self)",15
111669149711,"METHOD, 11 get_statistics<metaClassAdapter>",15
128849018895,"METHOD_RETURN, 11 ANY",15
146028888068,"RETURN, 29 return sum(numbers) / len(numbers)",6
30064771125,"<operator>.logicalNot, 27 not numbers",6
30064771128,"<operator>.division, 29 sum(numbers) / len(numbers)",6
146028888067,"RETURN, 28 return 0",6
30064771126,"sum, 29 sum(numbers)",6
30064771127,"len, 29 len(numbers)",6
111669149702,"METHOD, 17 calculate_average",6
128849018886,"METHOD_RETURN, 17 __builtin.int",6
111669149744,METHOD <operator>.indexAccess,48
128849018928,METHOD_RETURN ANY,48
111669149737,METHOD <operator>.fieldAccess,41
128849018921,METHOD_RETURN ANY,41
30064771246,"<operator>.assignment, 19 mean = calculate_average(numbers)",23
30064771260,"<operator>.assignment, 20 squared_diff_sum = sum(tmp0 = <operator>.genExp...",23
146028888082,"RETURN, 21 return (squared_diff_sum / len(numbers)) ** 0.5",23
30064771244,"<operator>.logicalNot, 17 not numbers",23
30064771245,"calculate_average, 19 calculate_average(numbers)",23
30064771259,"sum, 20 sum(tmp0 = <operator>.genExp tmp1 = numbers.__i...",23
30064771263,"<operator>.exponentiation, 21 squared_diff_sum / len(numbers) ** 0.5",23
146028888081,"RETURN, 18 return 0",23
30064771262,"<operator>.division, 21 squared_diff_sum / len(numbers)",23
30064771248,"<operator>.assignment, 20 tmp0 = <operator>.genExp",23
30064771261,"len, 21 len(numbers)",23
30064771247,"<operator>.genExp, 20 <operator>.genExp",23
30064771255,"<operator>.assignment, 20 tmp1 = numbers.__iter__()",23
30064771254,"__iter__, 20 numbers.__iter__()",23
184683593729,"UNKNOWN, 20 iteratorNonEmptyOrException",23
30064771253,"<operator>.fieldAccess, 20 numbers.__iter__",23
30064771258,"<operator>.assignment, 20 x = tmp1.__next__()",23
30064771252,"append, 20 tmp0.append(x - mean ** 2)",23
55834574864,"FIELD_IDENTIFIER, 20 __iter__",23
30064771257,"__next__, 20 tmp1.__next__()",23
30064771251,"<operator>.fieldAccess, 20 tmp0.append",23
30064771250,"<operator>.exponentiation, 20 x - mean ** 2",23
30064771256,"<operator>.fieldAccess, 20 tmp1.__next__",23
55834574863,"FIELD_IDENTIFIER, 20 append",23
30064771249,"<operator>.subtraction, 20 x - mean",23
55834574865,"FIELD_IDENTIFIER, 20 __next__",23
111669149719,"METHOD, 15 calculate_standard_deviation",23
128849018903,"METHOD_RETURN, 15 __builtin.int",23
30064771339,"<operator>.assignment, 8 __newInstance =",33
30064771341,"__init__, 8 cls.__init__(__newInstance)",33
146028888085,"RETURN, 8 return __newInstance",33
30064771338,"<operator>.alloc, 8 ",33
30064771340,"<operator>.fieldAccess, 8 cls.__init__",33
55834574878,"FIELD_IDENTIFIER, 8 __init__",33
111669149729,"METHOD, 8 <fakeNew>",33
128849018913,"METHOD_RETURN, 8 ANY",33
111669149740,METHOD <operator>.formattedValue,44
128849018924,METHOD_RETURN ANY,44
111669149732,METHOD <operator>.division,36
128849018916,METHOD_RETURN ANY,36
30064771289,"<operator>.assignment, 29 manager_tmp4 = open(filename, 'r')",26
30064771291,"<operator>.assignment, 29 enter_tmp5 = manager_tmp4.__enter__",26
30064771293,"<operator>.assignment, 29 exit_tmp6 = manager_tmp4.__exit__",26
30064771295,"<operator>.assignment, 29 value_tmp7 = enter_tmp5()",26
30064771288,"open, 29 open(filename, 'r')",26
30064771290,"<operator>.fieldAccess, 29 manager_tmp4.__enter__",26
30064771292,"<operator>.fieldAccess, 29 manager_tmp4.__exit__",26
30064771294,", 29 enter_tmp5()",26
55834574870,"FIELD_IDENTIFIER, 29 __enter__",26
55834574871,"FIELD_IDENTIFIER, 29 __exit__",26
30064771296,"<operator>.assignment, 29 f = value_tmp7",26
146028888083,"RETURN, 30 return json.load(f)",26
